product_id,reason
11ef9fa9e8ed5526b9190acdfb026a8f,Error: Need at least 3 dates to infer frequency
11ef9fa9e86ba8e6b12a0acdfb026a8f,Error: Need at least 3 dates to infer frequency
11ef9fa9e8e35526a0690acdfb026a8f,Error: Need at least 3 dates to infer frequency
11ef9fa9e87f5a4497160acdfb026a8f,Error: Need at least 3 dates to infer frequency
11ef9fa9e8f7ef18b8250acdfb026a8f,"Error: too many indices for array: array is 0-dimensional, but 1 were indexed"
11ef9fa9e84a8396bec60acdfb026a8f,Error: Need at least 3 dates to infer frequency
11ef9fa9e8f777729a080acdfb026a8f,Error: Need at least 3 dates to infer frequency
11ef9fa9e856cd4a9dec0acdfb026a8f,Error: Need at least 3 dates to infer frequency
11efa302d58e63d8a1b602d8a60509dd,"Error: too many indices for array: array is 0-dimensional, but 1 were indexed"
11ef9fa9e8a71b56b97f0acdfb026a8f,Error: Need at least 3 dates to infer frequency
11ef9fa9e8934252aae50acdfb026a8f,Error: Need at least 3 dates to infer frequency
11ef9fa9e86b4e5a8ae80acdfb026a8f,Error: Need at least 3 dates to infer frequency
11ef9fa9e84a31b6b9580acdfb026a8f,Error: Need at least 3 dates to infer frequency
11ef9fa9e8933ad284290acdfb026a8f,Error: Need at least 3 dates to infer frequency
11ef9fa9e8ecff5e983c0acdfb026a8f,Error: Need at least 3 dates to infer frequency
11ef9fa9e87f2ae281940acdfb026a8f,Error: Need at least 3 dates to infer frequency
11ef9fa9e84a94949a4a0acdfb026a8f,Error: Need at least 3 dates to infer frequency
11efa632cd4548a8aa1e02d8a60509dd,Error: Need at least 3 dates to infer frequency
11ef9fa9e889667eb1ed0acdfb026a8f,Error: Need at least 3 dates to infer frequency
11ef9fa9e86b63a4a6040acdfb026a8f,Error: Need at least 3 dates to infer frequency
11ef9fa9e8ff7166a4a80acdfb026a8f,Error: Need at least 3 dates to infer frequency
11ef9fa9e89d6c1e8bec0acdfb026a8f,Error: Need at least 3 dates to infer frequency
11ef9fa9e85703d2a8e80acdfb026a8f,Error: Need at least 3 dates to infer frequency
11efb0235309db4492540ae2611d356d,Error: Need at least 3 dates to infer frequency
11ef9fa9e86144f09c570acdfb026a8f,Error: Need at least 3 dates to infer frequency
11ef9fa9e88932da812c0acdfb026a8f,Error: Need at least 3 dates to infer frequency
11ef9fa9e86b1c00a1590acdfb026a8f,Error: Need at least 3 dates to infer frequency
11ef9fa9e8a7461ca69d0acdfb026a8f,Error: Need at least 3 dates to infer frequency
11ef9fa9e8ecc796b9620acdfb026a8f,Error: Need at least 3 dates to infer frequency
11efb02353ac52c0b4470ae2611d356d,Error: Need at least 3 dates to infer frequency
11ef9fa9e86168ea89630acdfb026a8f,Error: Dataframe has less than 2 non-NaN rows.
11ef9fa9e888c714bce80acdfb026a8f,Error: Need at least 3 dates to infer frequency
11efa2554c608eeaa65706fb1ac4ad25,Error: Need at least 3 dates to infer frequency
11ef9fa9e87533989f450acdfb026a8f,Error: Need at least 3 dates to infer frequency
11ef9fa9e8d932a8a5640acdfb026a8f,"Error: too many indices for array: array is 0-dimensional, but 1 were indexed"
11ef9fec427a9a94b2a702d8a60509dd,Error: Need at least 3 dates to infer frequency
11ef9fa9e84a554297160acdfb026a8f,Error: Need at least 3 dates to infer frequency
11ef9fa9e8ed568ea8500acdfb026a8f,Error: Dataframe has less than 2 non-NaN rows.
11ef9fa9e8ed4dceb6b20acdfb026a8f,Error: Need at least 3 dates to infer frequency
11ef9fec69c5fb98880c06c046b7d17f,Error: Need at least 3 dates to infer frequency
11ef9fec201dfa22ab1a06c046b7d17f,Error: Need at least 3 dates to infer frequency
11ef9fa9e8ed1cfaad930acdfb026a8f,Error: Need at least 3 dates to infer frequency
11ef9fa9e849f95887c60acdfb026a8f,Error: Need at least 3 dates to infer frequency
11efa56987885d60827f060b7545a69d,Error: Need at least 3 dates to infer frequency
