product_id,Outlet Name,Product Name,Case Quantity,Supplier Code,Order Type,Supplier,Order Date,Order Number,Received At,Total Cost,Fees,Freight,Payment Fees,Tax Amount,Item Received
11efa23a6b79fb1a818302d8a60509dd,Thirsty Camel Maribyrnong,Bright Brewery King Konge Hazy IPA 440ml 16PK,16,,order,Bright Brewery Australia,8/11/2024,29366,14/11/2024 15:46,$155.83 ,$0.00 ,$0.00 ,$0.00 ,$14.17 ,32
11efa23ab5264f2a9d9602d8a60509dd,Thirsty Camel Maribyrnong,Bright Brewery Doggobrau XPA 440ml Can 16pk,16,0,order,Bright Brewery Australia,8/11/2024,29366,14/11/2024 15:46,$155.83 ,$0.00 ,$0.00 ,$0.00 ,$14.17 ,32
11efa23b05750d90b6cd02f45f246745,Thirsty Camel Maribyrnong,Bright Brewery Miami Weisse Mango Ice Cream Sour 4.0% 355ml Can 24PK,24,,order,Bright Brewery Australia,8/11/2024,29366,14/11/2024 15:46,$77.92 ,$0.00 ,$0.00 ,$0.00 ,$7.08 ,24
11efa23d556bc2a6978e02d8a60509dd,Thirsty Camel Maribyrnong,Bright Brewery Alpine Lager 355ml Can 24PK,24,,order,Bright Brewery Australia,8/11/2024,29366,14/11/2024 15:46,$77.92 ,$0.00 ,$0.00 ,$0.00 ,$7.08 ,24
11ef9fa9e849e562932d0acdfb026a8f,The Bottle-O St Albans,Asahi Super Dry Bt 330Ml 24Pk,24,,receive,1. HO Liquor West - Wholesale,11/11/2024,4701,18/11/2024 14:37,$254.38 ,$0.00 ,$0.00 ,$0.00 ,$23.13 ,120
11ef9fa9e849e562932d0acdfb026a8f,Thirsty Camel Maribyrnong,Asahi Super Dry Bt 330Ml 24Pk,24,,receive,1. HO Liquor West - Wholesale,11/11/2024,4702,13/11/2024 11:17,"$1,526.30 ",$0.00 ,$0.00 ,$0.00 ,$138.75 ,720
11ef9fa9e849e7e2be120acdfb026a8f,Thirsty Camel Maribyrnong,Bacardi Carta Blanca 700Ml,12,,receive,1. HO Liquor West - Wholesale,11/11/2024,4702,13/11/2024 11:17,$466.56 ,$0.00 ,$0.00 ,$0.00 ,$42.41 ,12
11ef9fa9e849ed78929a0acdfb026a8f,The Bottle-O St Albans,Ballantines Scotch Whisky 700Ml,12,,receive,1. HO Liquor West - Wholesale,11/11/2024,4701,18/11/2024 14:37,"$1,224.12 ",$0.00 ,$0.00 ,$0.00 ,$111.28 ,36
11ef9fa9e849fa70b0000acdfb026a8f,The Bottle-O St Albans,Boags Premium Lager Bt,24,,receive,1. HO Liquor West - Wholesale,11/11/2024,4701,18/11/2024 14:37,$247.74 ,$0.00 ,$0.00 ,$0.00 ,$22.52 ,120
11ef9fa9e849fa70b0000acdfb026a8f,Thirsty Camel Maribyrnong,Boags Premium Lager Bt,24,,receive,1. HO Liquor West - Wholesale,11/11/2024,4702,13/11/2024 11:17,$247.74 ,$0.00 ,$0.00 ,$0.00 ,$22.52 ,120
