product_id,Product_Name,Revenue,COGS,Profit,MarginPct,Profit_Rank
11ef9fa9e84a1bf4a6430acdfb026a8f,Carlton Dry Bottle 330Ml,1541408.39360452,389222.13,90400.24,5.86,1
11ef9fa9e84a2cac890b0acdfb026a8f,Corona Brown Extra Bottle 355ml 24pk,917237.221663952,442420.06,87947.35,9.59,2
11ef9fa9e8a787bca5710acdfb026a8f,Martell Cognac Blue Swift 700Ml,1817005.26000214,664574.38,77623.19,4.27,3
11ef9fa9e84a5f6aa3bc0acdfb026a8f,Great Northern Super Crisp 3.5% Can Block 375Ml 30Pk,1175212.72216916,284817.82,75741.47,6.44,4
11ef9fa9e84a68ac9f270acdfb026a8f,Heineken Bottle 330Ml,918752.460357189,251493.56,67289.80,7.32,5
11ef9fa9e8570ff8817b0acdfb026a8f,Woodstock & Cola 12% Can 200Ml,1402645.04022074,198294.19,66215.03,4.72,6
11ef9fa9e856fd8893d10acdfb026a8f,Victoria Bitter 375Ml Bt,775797.510405779,272444.95,64485.16,8.31,7
11ef9fa9e84a1b40a8c30acdfb026a8f,Carlton Dry Can 375Ml,1194026.9320612,295096.66,63958.51,5.36,8
11ef9fa9e84a19ecbcd10acdfb026a8f,Carlton Draught Bt 375Ml,1528344.37068915,254843.89,62010.56,4.06,9
11ef9fa9e856fe3c82790acdfb026a8f,Victoria Bitter Can 375Ml,726737.230182409,193262.29,58472.42,8.05,10
11ef9fa9e84a1a96872f0acdfb026a8f,Carlton Draught Can 375Ml,1582490.83120441,262559.13,56364.75,3.56,11
11ef9fa9e84a94ee87e40acdfb026a8f,Johnnie Walker Red 1L,1114850.17034912,151528.39,56310.05,5.05,12
11ef9fa9e84a8db482b60acdfb026a8f,Jim Beam White Bourbon 1L,797451.459938049,133387.59,50433.10,6.32,13
11ef9fa9e8f75490bd5e0acdfb026a8f,Pure Blonde 4.2% Btl 330Ml,727943.67013216,238141.18,48623.32,6.68,14
11ef9fa9e8bb4b9eafae0acdfb026a8f,Victoria Bitter Bt 250Ml,1233390.6200608,239163.07,46774.05,3.79,15
11ef9fa9e84a5fc49da60acdfb026a8f,Great Northern Super Crisp Lager 3.5% Btl 330Ml,590134.698170185,190084.09,42079.69,7.13,16
11ef9fa9e856d2ea8f940acdfb026a8f,Smirnoff Vodka Red 1L,1274024.16238785,126906.51,41822.09,3.28,17
11ef9fa9e84a8288a07b0acdfb026a8f,Jameson Irish Whisky 1L,875699.90039444,83270.30,41038.20,4.69,18
11ef9fa9e8610a808a8c0acdfb026a8f,Jim Beam White & Cola 4.8% 375Ml Can 3x10Pk,226702.521456718,130812.89,37009.88,16.33,19
11ef9fa9e84a1dfcb2e40acdfb026a8f,Carlton Pure Blonde Can 375Ml,671944.790284157,190782.95,36961.54,5.50,20
11ef9fa9e856fe9693710acdfb026a8f,Victoria Bitter Can 375Ml Blocks 30Pk,906192.969079971,225868.15,36495.16,4.03,21
11ef9fa9e84a7112ab600acdfb026a8f,Jack Daniels Black Label 1L,1002799.58122253,123501.27,35307.30,3.52,22
11ef9fa9e88938708dfd0acdfb026a8f,Absolut Vodka 1L,463203.319396973,74256.21,34275.11,7.40,23
11ef9fa9e8ed20249bcc0acdfb026a8f,Hard Rated Lemon 4.5% Can 375Ml 3X10pk,304684.860958099,136261.17,31287.78,10.27,24
11ef9fa9e86b716490ec0acdfb026a8f,Suntory -196 Double Lemon Can 330mL 3x10Pk,84712.0402913094,55341.96,28307.28,33.42,25
11ef9fa9e8567b42b0020acdfb026a8f,Johnnie Walker Red 700Ml,740234.050201416,137296.21,27192.99,3.67,26
11ef9fa9e8610ff888430acdfb026a8f,Wild Turkey Rare & Cola 8% Can 3x10Pk,204995.260308266,133513.21,26132.70,12.75,27
11ef9fa9e86afef0a0860acdfb026a8f,Jim Beam Double Serve Black Can 375ml 3x10Pk,166719.760443687,113691.68,25486.38,15.29,28
11ef9fa9e8610f3aa8010acdfb026a8f,Jack Daniels Double Jack & Cola 375Ml 20Pk,161875.108834267,109664.57,25361.20,15.67,29
11ef9fa9e8569b54bbb30acdfb026a8f,Melbourne Bitter Can 375Ml,483439.179335356,93346.98,25285.00,5.23,30
11ef9fa9e8f75ff8922a0acdfb026a8f,Carlton Dry Mid Can Block 375mL,379962.001356363,113425.76,24696.56,6.50,31
11ef9fa9e8610ae4b5c20acdfb026a8f,Jim Beam White Cola Z/Sugar 4.8% Can 3x10Pk,149516.051352024,104989.38,23710.29,15.86,32
11ef9fa9e84a8f80b3680acdfb026a8f,Jim Beam White Bourbon 700Ml,544043.620365143,118049.02,23671.31,4.35,33
11ef9fa9e8610bfc8d730acdfb026a8f,Jack Daniels & Cola 375Ml Can 20Pk,128502.071455956,93942.41,23104.01,17.98,34
11ef9fa9e84a91b09ce80acdfb026a8f,Johnnie Walker Black 700Ml,651776.838813782,106481.51,22357.42,3.43,35
11ef9fa9e89d8a50ba280acdfb026a8f,Vodkaa 700mL,243655.030153275,58934.69,22216.34,9.12,36
11ef9fa9e84a2cac890b0acdfb026a8f,Corona Extra Bt 355Ml,193630.070212841,98642.14,21416.28,11.06,37
11ef9fa9e86b080aa96c0acdfb026a8f,Asahi Super Dry Can 500mL,82081.6598510742,58458.62,21200.04,25.83,38
11ef9fa9e849e562932d0acdfb026a8f,Asahi Super Dry Bt 330Ml 24Pk,294247.010128737,158246.53,21068.58,7.16,39
11ef9fa9e8c497308de10acdfb026a8f,Great Northern Original Lager 4.2% Bt 330Ml,330210.320509434,160388.17,20848.91,6.31,40
11ef9fa9e8ed5e5e94ca0acdfb026a8f,Hard Rated Lemon 4.5% 375ml Can 24Pk,60086.6001515388,36891.96,20682.29,34.42,41
11ef9fa9e856d39eab9a0acdfb026a8f,Smirnoff Vodka Red 700Ml,636387.080307007,127011.73,20651.35,3.25,42
11ef9fa9e8610b98acb70acdfb026a8f,Canadian Club & Dry 4.8% 375Ml Can 3x10Pk,92246.6407389641,60780.23,19862.61,21.53,43
11ef9fa9e89d84e2a33e0acdfb026a8f,Ballantines Scotch Whisky 1L,471100.5900383,59308.06,19788.53,4.20,44
11ef9fdb06e123a69fb60288780c0f59,Whiskeyy,63538.5199947357,44007.20,19531.32,30.74,45
11ef9fa9e849ed78929a0acdfb026a8f,Ballantines Scotch Whisky 700Ml,313242.570205688,65126.89,19217.73,6.14,46
11ef9fa9e84a5b3cb3410acdfb026a8f,Gossips Shiraz 750Ml,67456.0099830627,21764.40,18792.61,27.86,47
11ef9fa9e84a5862812c0acdfb026a8f,Gossips Chardonnay 750Ml,72253.719994545,19072.45,18771.27,25.98,48
11ef9fa9e86b716490ec0acdfb026a8f,Suntory -196 6% Lemon Can 30Pk,38696.0901737213,14313.20,18333.09,47.38,49
11ef9fa9e8f754408a4d0acdfb026a8f,Corona Extra Bottle 330ml 4x6pk,160017.730377913,55424.11,18273.62,11.42,50
11effe13d3a1d476bf8d02b6a504c617,Hard Rated Lemon 6% Can 330mL 3x10Pk,116233.820488453,60853.08,17749.89,15.27,51
11ef9fa9e8ff605e92770acdfb026a8f,Carlton Dry Mid 3.5% Btl 330Ml,101873.320605516,48219.33,17315.22,17.00,52
11ef9fa9e8d93e6aa8220acdfb026a8f,Woodstock & Cola 10% 200Ml Can 24PK,29715.9499673843,12424.23,17291.72,58.19,53
11ef9fa9e86111b0a5e40acdfb026a8f,Wild Turkey 101 6.5% Can 375Ml 3x10Pk,106864.979999065,73767.91,16825.00,15.74,54
11ef9fa9e8f78a8c9ae50acdfb026a8f,Great Northern Original Block 30Pk 375Ml,124405.360301971,95019.90,16727.50,13.45,55
11ef9fa9e8617880ae970acdfb026a8f,Wild Boar Bourbon 15% 375Ml Can 24Pk,110655.050531387,77557.37,15283.26,13.81,56
11ef9fa9e8890a9e98290acdfb026a8f,Canadian Club Whisky Original 37% 1L,129676.819633484,67684.43,14845.23,11.45,57
11ef9fa9e84a5a2ea5fc0acdfb026a8f,Gossips Sauvignon Blanc 750Ml,49685.1799945831,13373.38,14833.30,29.85,58
11ef9fa9e8611b889b0d0acdfb026a8f,Absolut Vodka 700Ml,181171.57069397,55235.51,14799.26,8.17,59
11ef9fa9e8617556a4920acdfb026a8f,Wild Turkey & Cola 101 Zero 6.5% Can 375Ml 3x10pk,94080.0600810051,71664.74,14747.09,15.68,60
11ef9fa9e86ba77ebbac0acdfb026a8f,Heineken Can 500mL,48272.989900589,29434.41,14568.58,30.18,61
11ef9fa9e8e3024c85fe0acdfb026a8f,Kirin Hyoketsu Lemon Can 330Ml 10Pkx3,33930.0502071381,20044.01,13886.04,40.93,62
11ef9fa9e8ff786ebbfc0acdfb026a8f,Hard Rated Zero Sugar Lemon Lime 375ml Can 3x10pk,133195.410609722,58789.87,13437.50,10.09,63
11ef9fa9e8c496d6adfa0acdfb026a8f,Grants Family Reserve Scotch Whisky 1L,173291.770050049,40934.09,13270.14,7.66,64
11ef9fa9e8ed590e90070acdfb026a8f,Hard Rated Zero Sugar Lemon Can 375mL 3x10pk,239784.190513611,68146.50,12696.69,5.30,65
11ef9fa9e84a7216b0890acdfb026a8f,Jack Daniels Black Label 700Ml,483423.440689087,82109.33,12663.19,2.62,66
11ef9fa9e8569a969bde0acdfb026a8f,Melbourne Bitter Bottle 375Ml,213311.74979043,44534.08,12588.67,5.90,67
