transfer_id,sender,sender_id,receiver,receiver_id,outlet,outlet_id,transferee,transferee_id,vendor_connection,vendor_connection_id,order_date,due_date,order_number,reference,notes,internal_notes,sent_at,received_at,product_id,cost,fees,freight,payment_fees,total_quantity,tax,ordered_quantity,ordered_items,ordered_cases,received_quantity,received_items,received_cases,case_quantity,transferred_items,transferred_cases,transferred_quantity
11efed82b3f87950ab0c02bd549146b9,The Bottle-O St Albans,11ef9fa9e25c665cbb790acdfb026a8f,Thirsty Camel Braybrook,11efb0234cfc4d8684ab0ae2611d356d,Thirsty Camel Braybrook,11efb0234cfc4d8684ab0ae2611d356d,,,,,18/02/2025,,X2HQ5X,,,,18/02/2025 9:59,18/02/2025 15:07,11ef9fa9e849e0da9def0acdfb026a8f,$83.67,$0.00,$0.00,$0.00,2,$7.61,2,2,0,2,2,0,6,0,0,0
11efb926eb1c3b8c95880225f6b27883,Thirsty Camel Braybrook,11efb0234cfc4d8684ab0ae2611d356d,The Bottle-O St Albans,11ef9fa9e25c665cbb790acdfb026a8f,The Bottle-O St Albans,11ef9fa9e25c665cbb790acdfb026a8f,,,,,13/12/2024,,KN002N,,,,13/12/2024 18:52,13/12/2024 19:14,11ef9fa9e849e18ebaa40acdfb026a8f,$176.85,$0.00,$0.00,$0.00,3,$16.08,3,3,0,3,3,0,6,0,0,0
11efbf6c68cfd6ecafb1024bb5a2f2ab,Thirsty Camel Braybrook,11efb0234cfc4d8684ab0ae2611d356d,The Bottle-O St Albans,11ef9fa9e25c665cbb790acdfb026a8f,The Bottle-O St Albans,11ef9fa9e25c665cbb790acdfb026a8f,,,,,21/12/2024,,B9O1ZR,,,,21/12/2024 18:26,22/12/2024 11:53,11ef9fa9e849e18ebaa40acdfb026a8f,$176.85,$0.00,$0.00,$0.00,3,$16.08,3,3,0,3,3,0,6,0,0,0
11efb1480ba0b32eb46606c6f745c1e3,The Bottle-O St Albans,11ef9fa9e25c665cbb790acdfb026a8f,Liquor West,11efb0234cfc3f6c95fb0ae2611d356d,Liquor West,11efb0234cfc3f6c95fb0ae2611d356d,,,,,3/12/2024,,V5WMYT,, delivery order from LW to BTO 3/12, delivery order from LW to BTO 3/12,3/12/2024 19:26,3/12/2024 19:28,11ef9fa9e849e242beb80acdfb026a8f,$384.72,$0.00,$0.00,$0.00,12,$34.97,12,0,2,12,0,2,6,0,0,0
11efb1daea135976b0b306b1bc894a93,Liquor West,11efb0234cfc3f6c95fb0ae2611d356d,The Bottle-O St Albans,11ef9fa9e25c665cbb790acdfb026a8f,The Bottle-O St Albans,11ef9fa9e25c665cbb790acdfb026a8f,,,,,3/12/2024,,V5WMYT,, delivery order from LW to BTO 3/12, delivery order from LW to BTO 3/12,4/12/2024 11:58,4/12/2024 11:59,11ef9fa9e849e242beb80acdfb026a8f,$384.72,$0.00,$0.00,$0.00,12,$34.97,12,0,2,12,0,2,6,0,0,0
11efb1db405365889c5502d8a60509dd,Liquor West,11efb0234cfc3f6c95fb0ae2611d356d,The Bottle-O St Albans,11ef9fa9e25c665cbb790acdfb026a8f,The Bottle-O St Albans,11ef9fa9e25c665cbb790acdfb026a8f,,,,,3/12/2024,,V5WMYT,, delivery order from LW to BTO 3/12, delivery order from LW to BTO 3/12,4/12/2024 12:01,4/12/2024 12:02,11ef9fa9e849e242beb80acdfb026a8f,$384.72,$0.00,$0.00,$0.00,12,$34.97,12,0,2,12,0,2,6,0,0,0
11efbcd9ca61fdb2b7d90608b1b9cdd7,Liquor West,11efb0234cfc3f6c95fb0ae2611d356d,The Bottle-O St Albans,11ef9fa9e25c665cbb790acdfb026a8f,The Bottle-O St Albans,11ef9fa9e25c665cbb790acdfb026a8f,,,,,18/12/2024,,NPGV9N,,2nd delivery 18/12,2nd delivery 18/12,18/12/2024 12:00,19/12/2024 17:53,11ef9fa9e849e242beb80acdfb026a8f,$189.11,$0.00,$0.00,$0.00,6,$17.19,6,0,1,6,0,1,6,0,0,0
11efc0c764fb842ea4100258937cfeaf,Liquor West,11efb0234cfc3f6c95fb0ae2611d356d,Thirsty Camel Braybrook,11efb0234cfc4d8684ab0ae2611d356d,Thirsty Camel Braybrook,11efb0234cfc4d8684ab0ae2611d356d,,,,,23/12/2024,,AAVNQU,,,,23/12/2024 12:05,24/12/2024 22:00,11ef9fa9e849e242beb80acdfb026a8f,$189.11,$0.00,$0.00,$0.00,6,$17.19,6,0,1,6,0,1,6,0,0,0
11efc64a14a2f9d4ad7b063ecfd41111,Liquor West,11efb0234cfc3f6c95fb0ae2611d356d,The Bottle-O St Albans,11ef9fa9e25c665cbb790acdfb026a8f,The Bottle-O St Albans,11ef9fa9e25c665cbb790acdfb026a8f,,,,,30/12/2024,,UK9T5H,,1st delivery 30/12/2024,1st delivery 30/12/2024,30/12/2024 14:18,31/12/2024 11:05,11ef9fa9e849e242beb80acdfb026a8f,$189.11,$0.00,$0.00,$0.00,6,$17.19,6,0,1,6,0,1,6,0,0,0
11efcbbe091f3a9aa4b602c93a2337ad,Liquor West,11efb0234cfc3f6c95fb0ae2611d356d,Bottlemart Ravenhall,11efb0234cfc4cc8ab140ae2611d356d,Bottlemart Ravenhall,11efb0234cfc4cc8ab140ae2611d356d,,,,,6/01/2025,,BBRJVE,,,,6/01/2025 10:38,8/01/2025 12:25,11ef9fa9e849e242beb80acdfb026a8f,$189.11,$0.00,$0.00,$0.00,6,$17.19,6,0,1,6,0,1,6,0,0,0
11efdc44d7f4bd68933402861e0dbd43,Liquor West,11efb0234cfc3f6c95fb0ae2611d356d,The Bottle-O St Albans,11ef9fa9e25c665cbb790acdfb026a8f,The Bottle-O St Albans,11ef9fa9e25c665cbb790acdfb026a8f,,,,,27/01/2025,,GHKBG7,,1st delivery 27/01/2025,1st delivery 27/01/2025,27/01/2025 11:40,29/01/2025 9:30,11ef9fa9e849e242beb80acdfb026a8f,$189.11,$0.00,$0.00,$0.00,6,$17.19,6,0,1,6,0,1,6,0,0,0
